,locations,parameters,as.numeric.median.out..,data2$new_result_units[1]
1,GM34921,Lead - Solid/Sediment - Total,NA,ug/Kg
2,GM34921,Copper - Solid/Sediment - Total,NA,ug/Kg
3,GM34921,Zinc - Solid/Sediment - Total,NA,ug/Kg
4,GM34921,Cadmium - Solid/Sediment - Total,NA,ug/Kg
5,GM34921,Total Phthalate - Water - Total,6.24,ug/L
6,GM34921,Total PAH - Solid/Sediment - Total,NA,ug/Kg
7,GM34921,Ortho-phosphate - Water - Dissolved,12,ug/L
8,GM34921,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
9,GM34921,Total Phthalate - Solid/Sediment - Total,NA,ug/Kg
10,GM34921,HPAH - Solid/Sediment - Total,NA,ug/Kg
11,GM34921,Nitrite-Nitrate - Water - Dissolved,176,ug/L
12,GM34921,Total Suspended Solids - Water - Total,135000,ug/L
13,GM34921,Pyrene - Solid/Sediment - Total,NA,ug/Kg
14,GM34921,Chrysene - Solid/Sediment - Total,NA,ug/Kg
15,GM34921,Zinc - Water - Total,108,ug/L
16,GM34921,Copper - Water - Dissolved,3.87,ug/L
17,GM34921,Phenanthrene - Solid/Sediment - Total,NA,ug/Kg
18,GM34921,Copper - Water - Total,19.6,ug/L
19,GM34921,Total Phosphorus - Water - Total,237,ug/L
20,GM34921,CPAH - Solid/Sediment - Total,NA,ug/Kg
21,GM34921,Zinc - Water - Dissolved,22.1,ug/L
22,GM34921,Fluoranthene - Solid/Sediment - Total,NA,ug/Kg
23,GM34921,LPAH - Solid/Sediment - Total,NA,ug/Kg
24,GM34921,Lead - Water - Total,22.7,ug/L
25,GM34921,Total Kjeldahl Nitrogen - Water - Total,1520,ug/L
26,GM34921,Cadmium - Water - Total,0.23,ug/L
27,GM34921,Total TPHDx - Water - Total,3000,ug/L
28,GM34921,Biochemical Oxygen Demand - Water - Total,6200,ug/L
29,GM34921,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",NA,ug/Kg
30,GM34921,Total PAH - Water - Total,1.98,ug/L
31,GM34921,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
32,GM34921,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
33,GM34921,Bis(2-ethylhexyl) phthalate - Water - Total,4.9,ug/L
34,GM34921,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
35,GM34921,Diesel Range Organics - Water - Total,840,ug/L
36,GM34921,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
37,GM34921,Lead - Water - Dissolved,0.129,ug/L
38,GM34921,Mercury - Solid/Sediment - Total,NA,ug/Kg
39,GM34921,Benzo(k)fluoranthene - Solid/Sediment - Total,230,ug/Kg
40,GM34921,HPAH - Water - Total,1.75,ug/L
41,GM34921,Anthracene - Solid/Sediment - Total,78,ug/Kg
42,GM34921,Benz(a)anthracene - Solid/Sediment - Total,NA,ug/Kg
43,GM34921,Heavy Fuel Oil - Water - Total,2000,ug/L
44,GM34921,"Benzo(g,h,i)perylene - Solid/Sediment - Total",NA,ug/Kg
45,GM34921,Pyrene - Water - Total,0.39,ug/L
46,GM34921,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
47,GM34921,Cadmium - Water - Dissolved,0.029,ug/L
48,GM34921,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
49,GM34921,LPAH - Water - Total,0.27,ug/L
50,KICCOMS8D_OUT,Lead - Solid/Sediment - Total,44400,ug/Kg
51,KICCOMS8D_OUT,Copper - Solid/Sediment - Total,49100,ug/Kg
52,KICCOMS8D_OUT,Zinc - Solid/Sediment - Total,177000,ug/Kg
53,KICCOMS8D_OUT,Cadmium - Solid/Sediment - Total,350,ug/Kg
54,KICCOMS8D_OUT,Total Phthalate - Water - Total,1.567,ug/L
55,KICCOMS8D_OUT,Total PAH - Solid/Sediment - Total,1750.9,ug/Kg
56,KICCOMS8D_OUT,Ortho-phosphate - Water - Dissolved,13.9,ug/L
57,KICCOMS8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,10200,ug/Kg
58,KICCOMS8D_OUT,Total Phthalate - Solid/Sediment - Total,12860,ug/Kg
59,KICCOMS8D_OUT,HPAH - Solid/Sediment - Total,1591.9,ug/Kg
60,KICCOMS8D_OUT,Nitrite-Nitrate - Water - Dissolved,158,ug/L
61,KICCOMS8D_OUT,Total Suspended Solids - Water - Total,112000,ug/L
62,KICCOMS8D_OUT,Pyrene - Solid/Sediment - Total,411,ug/Kg
63,KICCOMS8D_OUT,Chrysene - Solid/Sediment - Total,230,ug/Kg
64,KICCOMS8D_OUT,Zinc - Water - Total,82.8,ug/L
65,KICCOMS8D_OUT,Copper - Water - Dissolved,4.4,ug/L
66,KICCOMS8D_OUT,Phenanthrene - Solid/Sediment - Total,125,ug/Kg
67,KICCOMS8D_OUT,Copper - Water - Total,21,ug/L
68,KICCOMS8D_OUT,Total Phosphorus - Water - Total,233,ug/L
69,KICCOMS8D_OUT,CPAH - Solid/Sediment - Total,670.9,ug/Kg
70,KICCOMS8D_OUT,Zinc - Water - Dissolved,13.7,ug/L
71,KICCOMS8D_OUT,Fluoranthene - Solid/Sediment - Total,160,ug/Kg
72,KICCOMS8D_OUT,LPAH - Solid/Sediment - Total,159,ug/Kg
73,KICCOMS8D_OUT,Lead - Water - Total,14.8,ug/L
74,KICCOMS8D_OUT,Total Kjeldahl Nitrogen - Water - Total,1180,ug/L
75,KICCOMS8D_OUT,Cadmium - Water - Total,0.15,ug/L
76,KICCOMS8D_OUT,Total TPHDx - Water - Total,769,ug/L
77,KICCOMS8D_OUT,Biochemical Oxygen Demand - Water - Total,7580,ug/L
78,KICCOMS8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",73,ug/Kg
79,KICCOMS8D_OUT,Total PAH - Water - Total,0.3916,ug/L
80,KICCOMS8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,177,ug/Kg
81,KICCOMS8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
82,KICCOMS8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,1.86,ug/L
83,KICCOMS8D_OUT,p-Cresol - Solid/Sediment - Total,684,ug/Kg
84,KICCOMS8D_OUT,Diesel Range Organics - Water - Total,NA,ug/L
85,KICCOMS8D_OUT,Magnesium - Water - Total,2440,ug/L
86,KICCOMS8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,223,ug/Kg
87,KICCOMS8D_OUT,Lead - Water - Dissolved,0.21,ug/L
88,KICCOMS8D_OUT,Mercury - Solid/Sediment - Total,32,ug/Kg
89,KICCOMS8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
90,KICCOMS8D_OUT,HPAH - Water - Total,0.2895,ug/L
91,KICCOMS8D_OUT,Anthracene - Solid/Sediment - Total,17,ug/Kg
92,KICCOMS8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,102,ug/Kg
93,KICCOMS8D_OUT,Heavy Fuel Oil - Water - Total,NA,ug/L
94,KICCOMS8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",173,ug/Kg
95,KICCOMS8D_OUT,Pyrene - Water - Total,0.133,ug/L
96,KICCOMS8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,468,ug/Kg
97,KICCOMS8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
98,KICCOMS8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",92,ug/Kg
99,KICCOMS8D_OUT,LPAH - Water - Total,0.0683,ug/L
100,KICHDRS8D_OUT,Lead - Solid/Sediment - Total,186000,ug/Kg
101,KICHDRS8D_OUT,Copper - Solid/Sediment - Total,56000,ug/Kg
102,KICHDRS8D_OUT,Zinc - Solid/Sediment - Total,185000,ug/Kg
103,KICHDRS8D_OUT,Cadmium - Solid/Sediment - Total,720,ug/Kg
104,KICHDRS8D_OUT,Total Phthalate - Water - Total,0.266,ug/L
105,KICHDRS8D_OUT,Total PAH - Solid/Sediment - Total,12666,ug/Kg
106,KICHDRS8D_OUT,Ortho-phosphate - Water - Dissolved,31.4,ug/L
107,KICHDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,5790,ug/Kg
108,KICHDRS8D_OUT,Total Phthalate - Solid/Sediment - Total,6122,ug/Kg
109,KICHDRS8D_OUT,HPAH - Solid/Sediment - Total,11336,ug/Kg
110,KICHDRS8D_OUT,Nitrite-Nitrate - Water - Dissolved,87,ug/L
111,KICHDRS8D_OUT,Total Suspended Solids - Water - Total,23100,ug/L
112,KICHDRS8D_OUT,Pyrene - Solid/Sediment - Total,2030,ug/Kg
113,KICHDRS8D_OUT,Chrysene - Solid/Sediment - Total,1180,ug/Kg
114,KICHDRS8D_OUT,Zinc - Water - Total,17.7,ug/L
115,KICHDRS8D_OUT,Copper - Water - Dissolved,1.8,ug/L
116,KICHDRS8D_OUT,Phenanthrene - Solid/Sediment - Total,1110,ug/Kg
117,KICHDRS8D_OUT,Copper - Water - Total,6.68,ug/L
118,KICHDRS8D_OUT,Total Phosphorus - Water - Total,144,ug/L
119,KICHDRS8D_OUT,CPAH - Solid/Sediment - Total,4002,ug/Kg
120,KICHDRS8D_OUT,Zinc - Water - Dissolved,2.73,ug/L
121,KICHDRS8D_OUT,Fluoranthene - Solid/Sediment - Total,2300,ug/Kg
122,KICHDRS8D_OUT,LPAH - Solid/Sediment - Total,1330,ug/Kg
123,KICHDRS8D_OUT,Lead - Water - Total,3.42,ug/L
124,KICHDRS8D_OUT,Total Kjeldahl Nitrogen - Water - Total,1080,ug/L
125,KICHDRS8D_OUT,Cadmium - Water - Total,0.056,ug/L
126,KICHDRS8D_OUT,Total TPHDx - Water - Total,NA,ug/L
127,KICHDRS8D_OUT,Biochemical Oxygen Demand - Water - Total,4930,ug/L
128,KICHDRS8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",712,ug/Kg
129,KICHDRS8D_OUT,Total PAH - Water - Total,0.2644,ug/L
130,KICHDRS8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,2070,ug/Kg
131,KICHDRS8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
132,KICHDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,NA,ug/L
133,KICHDRS8D_OUT,p-Cresol - Solid/Sediment - Total,2690,ug/Kg
134,KICHDRS8D_OUT,Diesel Range Organics - Water - Total,NA,ug/L
135,KICHDRS8D_OUT,Magnesium - Water - Total,483,ug/L
136,KICHDRS8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,1010,ug/Kg
137,KICHDRS8D_OUT,Lead - Water - Dissolved,0.18,ug/L
138,KICHDRS8D_OUT,Mercury - Solid/Sediment - Total,NA,ug/Kg
139,KICHDRS8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
140,KICHDRS8D_OUT,HPAH - Water - Total,0.2376,ug/L
141,KICHDRS8D_OUT,Anthracene - Solid/Sediment - Total,131,ug/Kg
142,KICHDRS8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,823,ug/Kg
143,KICHDRS8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",934,ug/Kg
144,KICHDRS8D_OUT,Pyrene - Water - Total,0.107,ug/L
145,KICHDRS8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
146,KICHDRS8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
147,KICHDRS8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",277,ug/Kg
148,KICHDRS8D_OUT,LPAH - Water - Total,0.0679,ug/L
149,KICLDRS8D_OUT,Lead - Solid/Sediment - Total,23400,ug/Kg
150,KICLDRS8D_OUT,Copper - Solid/Sediment - Total,26000,ug/Kg
151,KICLDRS8D_OUT,Zinc - Solid/Sediment - Total,112000,ug/Kg
152,KICLDRS8D_OUT,Cadmium - Solid/Sediment - Total,390,ug/Kg
153,KICLDRS8D_OUT,Total Phthalate - Water - Total,0.455,ug/L
154,KICLDRS8D_OUT,Total PAH - Solid/Sediment - Total,32723.9,ug/Kg
155,KICLDRS8D_OUT,Ortho-phosphate - Water - Dissolved,26.2,ug/L
156,KICLDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,159,ug/Kg
157,KICLDRS8D_OUT,Total Phthalate - Solid/Sediment - Total,208,ug/Kg
158,KICLDRS8D_OUT,HPAH - Solid/Sediment - Total,31400,ug/Kg
159,KICLDRS8D_OUT,Nitrite-Nitrate - Water - Dissolved,679,ug/L
160,KICLDRS8D_OUT,Total Suspended Solids - Water - Total,12400,ug/L
161,KICLDRS8D_OUT,Pyrene - Solid/Sediment - Total,5750,ug/Kg
162,KICLDRS8D_OUT,Chrysene - Solid/Sediment - Total,3240,ug/Kg
163,KICLDRS8D_OUT,Zinc - Water - Total,10.2,ug/L
164,KICLDRS8D_OUT,Copper - Water - Dissolved,1.7,ug/L
165,KICLDRS8D_OUT,Phenanthrene - Solid/Sediment - Total,1180,ug/Kg
166,KICLDRS8D_OUT,Copper - Water - Total,2.91,ug/L
167,KICLDRS8D_OUT,Total Phosphorus - Water - Total,71.6,ug/L
168,KICLDRS8D_OUT,CPAH - Solid/Sediment - Total,10916,ug/Kg
169,KICLDRS8D_OUT,Zinc - Water - Dissolved,5.54,ug/L
170,KICLDRS8D_OUT,Fluoranthene - Solid/Sediment - Total,6820,ug/Kg
171,KICLDRS8D_OUT,LPAH - Solid/Sediment - Total,1350,ug/Kg
172,KICLDRS8D_OUT,Lead - Water - Total,1.34,ug/L
173,KICLDRS8D_OUT,Total Kjeldahl Nitrogen - Water - Total,429,ug/L
174,KICLDRS8D_OUT,Cadmium - Water - Total,NA,ug/L
175,KICLDRS8D_OUT,Total TPHDx - Water - Total,NA,ug/L
176,KICLDRS8D_OUT,Biochemical Oxygen Demand - Water - Total,NA,ug/L
177,KICLDRS8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",1990,ug/Kg
178,KICLDRS8D_OUT,Total PAH - Water - Total,0.8674,ug/L
179,KICLDRS8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,5650,ug/Kg
180,KICLDRS8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
181,KICLDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,NA,ug/L
